timestamp,vins_x,vins_y,vins_z,gps_x,gps_y,gps_z,error_2d,error_3d,error_x,error_y,error_z
1645814038.5846663,-0.005991420359124412,-0.004496498378874653,0.0073489587173912446,-0.02253825944299947,0.018553248418703146,0.0,0.02837408520287664,0.02931033785765739,0.016546839083875057,0.0230497467975778,0.0073489587173912446
1645814038.6845334,-0.020338258546223537,-0.014784879800793533,0.036453924739227414,-0.034551878598361244,0.018553248418703146,0.0,0.03624165818731438,0.05140375878337486,0.014213620052137707,0.03333812821949668,0.036453924739227414
1645814038.784884,-0.037861798309062215,-0.03361625782756229,0.08610183407938447,-0.05133628413996498,0.03240416083942267,0.037327459073840476,0.06738143252685547,0.08318171137066495,0.013474485830902765,0.06602041866698496,0.048774375005544
1645814038.8850458,-0.060901183343078334,-0.05219896529985053,0.15420010063754797,-0.06952981956641034,0.050463423143180336,0.08599619323888154,0.10302436296285629,0.12355481515646495,0.008628636223332008,0.10266238844303087,0.06820390739866643
1645814038.985461,-0.0891577334075589,-0.06921158576481336,0.23142531270406283,-0.08370360507117669,0.0689690310817525,0.17173560944845306,0.13828821492812454,0.15062035407855712,0.005454128336382216,0.13818061684656585,0.059689703255609766
1645814039.0841737,-0.12149317092636268,-0.07897964330249689,0.3106980001905192,-0.09602815659639694,0.08731942093585007,0.2706422237510956,0.16823746824466662,0.1729401947134913,0.025465014329965743,0.16629906423834695,0.040055776439423596
1645814039.183313,-0.16037541737107835,-0.08233641734524892,0.3910159845546949,-0.11747013454287825,0.119245017072612,0.37135886498561316,0.20609691408783928,0.20703222055101322,0.04290528282820011,0.20158143441786092,0.019657119569081727
1645814039.283019,-0.202958877457769,-0.07848564144341556,0.46634344369062664,-0.1428592604179305,0.15704763868594812,0.4732348835679672,0.24308000743959293,0.24317767570320997,0.06009961703983849,0.2355332801293637,0.006891439877340588
1645814039.3819046,-0.24762143600747097,-0.0687188984204403,0.5337115453766784,-0.1585604613388897,0.1938720082208996,0.536237282495006,0.2772829628008879,0.2772944658799188,0.08906097466858126,0.2625909066413399,0.002525737118327598
1645814039.4828284,-0.29555283984508735,-0.05387589858551201,0.5934798165867925,-0.1710990115142822,0.2312100461860265,0.586549277360459,0.31106711702215367,0.311144313247795,0.12445382833080515,0.28508594477153854,0.006930539226333465
1645814039.581191,-0.3434008064725421,-0.034829191226042056,0.6410031144179907,-0.17895064473086966,0.2813888541120575,0.6361092416907254,0.3564234951491142,0.35645709122499064,0.16445016174167246,0.31621804533809955,0.00489387272726538
1645814039.683275,-0.394185973810835,-0.010544231662643927,0.6796148190615717,-0.18538549304434548,0.3388750717464896,0.6877499897483417,0.40705219611647014,0.4071334810173982,0.2088004807664895,0.3494193034091335,0.008135170686769944
1645814039.7808366,-0.44517783707479364,0.0186092366600788,0.7084066989566078,-0.19112743678730099,0.39644774783408526,0.7000000000000028,0.4553059920673404,0.4553835954442936,0.25405040028749265,0.37783851117400646,0.008406698956604952
1645814039.8808322,-0.5011222602413783,0.054484426822448556,0.7343384116401561,-0.19687462066747025,0.45634781412366526,0.7000000000000028,0.5040444506583743,0.505212761867187,0.30424763957390805,0.40186338730121673,0.03433841164015328
1645814039.9813354,-0.5609680916937851,0.0975084865544516,0.761152899271311,-0.19571836294337047,0.5259133172725637,0.7293269784763555,0.5629725244937499,0.5638713971902748,0.36524972875041467,0.42840483071811214,0.0318259207949555
1645814040.0812793,-0.6240986816936054,0.14772483267894534,0.7908431746196549,-0.1893150803166658,0.6021856151694761,0.7807144065490315,0.6289446580170683,0.6290262115292458,0.4347836013769396,0.4544607824905308,0.010128768070623462
1645814040.1807466,-0.6898284442810175,0.2059529540523697,0.823704113658773,-0.17852689751430387,0.6932341522631147,0.7999999999999972,0.7063088827529591,0.7067065323456982,0.5113015467667137,0.487281198210745,0.023704113658775894
1645814040.2809315,-0.7611841762772371,0.272834330039726,0.8596939682548397,-0.16496855964553395,0.7941712067094251,0.7999999999999972,0.7920007578855207,0.7942471720675178,0.5962156166317032,0.5213368766696991,0.05969396825484252
1645814040.380712,-0.8362619813409904,0.3478120999418436,0.8937435279325047,-0.14778202805153676,0.8939119657707273,0.83800806282478,0.8787660152394225,0.8805317436700096,0.6884799532894537,0.5460998658288837,0.05573546510772465
1645814040.4805305,-0.9131033529700205,0.4274134542633614,0.9222446479312004,-0.12954647342779976,0.993467310206523,0.8867892014074912,0.9666324799560916,0.9672825026817448,0.7835568795422208,0.5660538559431616,0.035455446523709244
1645814040.5806434,-0.9929914689284142,0.5085109348512368,0.9415546127928214,-0.10656308572828666,1.0943144280122212,0.8999999999999915,1.0625069463972476,1.0633192356892476,0.8864283832001275,0.5858034931609845,0.041554612792829904
1645814040.6807032,-1.0725213700654452,0.5913627010201896,0.9523489251979739,-0.08185648660767329,1.1954769935075444,0.8999999999999915,1.1603322755589875,1.161512548220329,0.9906648834577719,0.6041142924873548,0.0523489251979824
1645814040.7806635,-1.1508471531848556,0.6737197489163064,0.9550684270708386,-0.05741238267163103,1.3020238800492032,0.9348139759238231,1.2610970139390436,1.2612596565962297,1.0934347705132246,0.6283041311328968,0.020254451147015518
1645814040.8822649,-1.2308123431689963,0.758281389180832,0.9550598176039091,-0.03266448839584716,1.4125674975412699,0.9844654866266782,1.3651551536330755,1.3654718184062324,1.1981478547731492,0.6542861083604379,0.029405669022769088
1645814040.9813905,-1.3069249818630504,0.8408204040156498,0.9592520016304871,-0.008233061333764526,1.527909535863058,1.0,1.469248848749207,1.4698137905605568,1.298691920529286,0.6870891318474083,0.04074799836951293
1645814041.0807836,-1.385273632118676,0.9269403715210985,0.9717028718802283,0.016399943827368167,1.6471091722767683,1.0,1.5758591038183682,1.5761131439547915,1.4016735759460441,0.7201688007556698,0.028297128119771697
1645814041.180738,-1.4668148391051967,1.0162379699640052,0.9961288306776451,0.04178736062128892,1.7574034515171053,1.0,1.6808351698085775,1.6808396276912776,1.5086021997264856,0.7411654815531001,0.0038711693223548727
1645814041.2829168,-1.5480638471341184,1.1047308980482933,1.0369096002775153,0.06806961470218714,1.865017625238219,1.0,1.7860356306659084,1.7864169705309048,1.6161334618363055,0.7602867271899256,0.03690960027751533
1645814041.3807428,-1.6266493027343651,1.1870465552674676,1.0882921433011696,0.08814246461120304,1.9721050880461313,1.035786071218484,1.8859553826230155,1.8866861405253068,1.7147917673455682,0.7850585327786637,0.05250607208268554
1645814041.4807742,-1.7035079565761626,1.2620674338608535,1.1526784176074076,0.10678099435182742,2.083110924668378,1.0856451909993474,1.987777276167873,1.9889072258702403,1.81028895092799,0.8210434908075244,0.06703322660806021
1645814041.5808687,-1.7838381738540305,1.3322684906497055,1.2232833053766035,0.12557545810703463,2.195045458967362,1.1718428851321516,2.0952910334791564,2.095922382106045,1.909413631961065,0.8627769683176563,0.051440420244451834
