timestamp,vins_x,vins_y,vins_z,gps_x,gps_y,gps_z,time_diff,error_x,error_y,error_z,error_2d,error_3d
1517155422.3179295,33.74698405268512,20.565471356177255,18.02256488635294,5.278955836263706,-1.9109845918722594,14.0,0.0652010440826416,28.468028216421416,22.476455948049516,4.022564886352939,36.271472295945976,36.49384510818908
1517155422.4183006,33.855578201317776,20.52665671926322,18.051031772413943,5.956066560994662,-1.9295378402909622,14.5,0.05260920524597168,27.899511640323112,22.45619455955418,3.5510317724139426,35.81429077707774,35.98990484168816
1517155422.5179296,33.97981515348417,20.481510066489793,18.152246533414747,5.956066560994662,-1.9295378402909622,14.5,0.04701972007751465,28.023748592489504,22.411047906780755,3.652246533414747,35.88294237454726,36.068330404884556
1517155422.6178963,34.1819929775574,20.39148316294279,18.28237131211162,6.670794548121576,-1.9480910887096656,15.100000000000001,0.031629085540771484,27.511198429435822,22.339574251652458,3.18237131211162,35.438998529429206,35.58159782720608
1517155422.7181954,34.39410395729804,20.28966395235476,18.4573116148048,6.670794548121576,-1.9480910887096656,15.100000000000001,0.06867003440856934,27.723309409176466,22.23775504106443,3.3573116148048,35.54011302547192,35.6983357475138
1517155422.818547,34.90423672991722,20.094077371917777,18.84961733166307,7.460757060574977,-1.9295378402909622,15.600000000000001,0.036607980728149414,27.443479669342246,22.02361521220874,3.2496173316630674,35.187841698192194,35.33757513156892
1517155422.91794,35.186160735870075,19.967326513413582,19.062290677227306,7.460757060574977,-1.9295378402909622,15.600000000000001,0.06278491020202637,27.725403675295098,21.896864353704544,3.4622906772273048,35.32945906014701,35.49870609214114
1517155423.0179625,35.50385868972621,19.844167010473836,19.315371610487418,8.300875922889656,-1.9109845918722594,16.1,0.04362845420837402,27.202982766836552,21.755151602346096,3.2153716104874164,34.832296689335145,34.98038746565562
1517155423.1182275,35.76583185950272,19.742327354449447,19.51294460839914,8.300875922889656,-1.9109845918722594,16.1,0.05663657188415527,27.464955936613062,21.653311946321708,3.412944608399137,34.97412933647978,35.14026058162939
1517155423.2181852,35.887680778573085,19.71480325716184,19.63783168777658,9.19115113506561,-1.85532484661615,16.6,0.03768634796142578,26.696529643507475,21.57012810377799,3.0378316877765776,34.321642172542774,34.455820158332116
1517155423.3188477,36.3213689500477,19.574818246572526,19.961125973898575,9.19115113506561,-1.85532484661615,16.6,0.06297612190246582,27.13021781498209,21.430143093188676,3.3611259738985737,34.57310734780595,34.736103976919026
1517155423.418542,36.57224811548808,19.530946033707576,20.157054219178814,10.144121785102733,-1.7811118529413372,17.200000000000003,0.03502202033996582,26.428126330385346,21.312057886648912,2.9570542191788114,33.9506947307221,34.07922889905
1517155423.5186431,36.84536703201408,19.47046577396619,20.36085358737789,10.144121785102733,-1.7811118529413372,17.200000000000003,0.0650792121887207,26.70124524691135,21.251577626907526,3.1608535873778862,34.12603184327446,34.27210301059773
1517155423.6182694,37.259113699354835,19.371006499899515,20.626072915129694,11.147248785001135,-1.6883456108478216,17.700000000000003,0.04521536827087402,26.1118649143537,21.059352110747337,2.9260729151296907,33.545876059955475,33.67324907600319
1517155423.7182145,37.60444686176389,19.29345036337798,20.829198511525913,11.147248785001135,-1.6883456108478216,17.700000000000003,0.05472970008850098,26.457198076762754,20.9817959742258,3.12919851152591,33.76713035448966,33.911811743132105
