timestamp,latitude,longitude,altitude,status,service
1748025976.226576,45.3259775,-75.66628616666667,59.599999999999994,2,1
1748025976.448802,45.32602516666667,-75.66631133333334,51.599999999999994,2,1
1748025976.6281629,45.32542516666667,-75.6654665,89.0,1,1
1748025976.824948,45.325493,-75.66557583333334,80.0,1,1
1748025977.0369773,45.3255105,-75.66560483333333,77.8,1,1
1748025977.2386918,45.325978166666665,-75.66628816666666,59.7,2,1
1748025977.4608765,45.326026,-75.666313,51.5,2,1
1748025977.6420538,45.32542566666667,-75.66546766666667,89.1,1,1
1748025977.8300214,45.325493333333334,-75.66557733333333,80.0,1,1
1748025978.0224016,45.3255105,-75.66560583333333,77.8,1,1
1748025978.2253835,45.32597716666667,-75.66628783333333,59.599999999999994,2,1
1748025978.445387,45.326025,-75.66631233333334,51.39999999999999,2,1
1748025978.650953,45.325423,-75.66546366666667,89.1,1,1
1748025978.821236,45.325491,-75.6655745,80.2,1,1
1748025979.023327,45.32550883333333,-75.66560433333333,77.89999999999999,1,1
1748025979.2381542,45.325979,-75.66629133333333,59.39999999999999,2,1
1748025979.4621415,45.32602683333333,-75.66631616666666,51.3,2,1
1748025979.6443505,45.3254255,-75.66546816666667,88.89999999999999,1,1
1748025979.8261542,45.325492833333335,-75.665578,80.0,1,1
1748025980.030742,45.325510666666666,-75.66560783333334,77.7,1,1
1748025980.2272024,45.3259795,-75.66629216666666,59.599999999999994,2,1
1748025980.4500601,45.32602766666667,-75.66631716666667,51.39999999999999,2,1
1748025980.6418304,45.3254275,-75.66547066666666,89.0,1,1
1748025980.8269253,45.325494666666664,-75.66558,80.0,1,1
1748025981.0280375,45.3255125,-75.6656095,77.8,1,1
1748025981.2307537,45.325979,-75.66629233333333,59.599999999999994,2,1
1748025981.4553776,45.32602816666667,-75.66631766666667,51.3,2,1
1748025981.637686,45.3254305,-75.66547416666667,88.8,1,1
1748025981.8250873,45.325497666666664,-75.66558383333333,79.89999999999999,1,1
1748025982.0125108,45.3255155,-75.66561333333334,77.7,1,1
1748025982.2286656,45.325980333333334,-75.66629383333333,59.5,2,1
1748025982.4491649,45.32602933333333,-75.66631783333334,51.099999999999994,2,1
1748025982.642424,45.325435,-75.6654755,88.0,1,1
1748025982.8219235,45.3255005,-75.66558383333333,79.5,1,1
1748025983.027481,45.325518,-75.66561266666666,77.3,1,1
1748025983.2342172,45.32598133333333,-75.66629183333333,59.8,2,1
1748025983.4692652,45.32602983333334,-75.66631616666666,51.5,2,1
1748025983.6435769,45.3254355,-75.66547483333333,88.39999999999999,1,1
1748025983.8253412,45.325502166666666,-75.6655835,79.89999999999999,1,1
1748025984.0304651,45.3255205,-75.66561283333333,77.8,1,1
1748025984.2462382,45.325986,-75.666295,60.3,2,1
1748025984.4543765,45.3260355,-75.6663195,51.89999999999999,2,1
1748025984.6445618,45.32543916666667,-75.66547583333333,89.1,1,1
1748025984.8248749,45.32550616666666,-75.6655845,80.39999999999999,1,1
1748025985.038942,45.325524333333334,-75.6656145,78.3,1,1
1748025985.227118,45.3259945,-75.666302,60.7,2,1
1748025985.4646518,45.32604366666666,-75.666326,52.3,2,1
1748025985.6321216,45.325442833333334,-75.665476,89.3,1,1
1748025985.8288937,45.325509833333335,-75.66558733333333,80.89999999999999,1,1
1748025986.029624,45.325527666666666,-75.66561616666667,78.8,1,1
1748025986.2348096,45.325995,-75.666299,61.5,2,1
1748025986.4603174,45.32604516666667,-75.66632233333333,52.89999999999999,2,1
1748025986.6423178,45.325444166666664,-75.66547416666667,90.6,1,1
1748025986.8248966,45.325512833333335,-75.66558316666666,81.8,1,1
1748025987.0235627,45.325531166666664,-75.665611,79.7,1,1
1748025987.23205,45.325997666666666,-75.66629,61.89999999999999,2,1
1748025987.4499633,45.326048666666665,-75.6663145,53.39999999999999,2,1
1748025987.6425896,45.32544816666667,-75.66546483333333,91.0,1,1
1748025987.8336222,45.32551616666667,-75.66557266666666,82.2,1,1
1748025988.04002,45.3255355,-75.66559966666667,80.0,1,1
1748025988.2234187,45.3260035,-75.66627716666666,62.39999999999999,2,1
1748025988.4504113,45.32605383333333,-75.666298,53.8,2,1
1748025988.643965,45.32545416666667,-75.66544616666667,90.8,1,1
1748025988.8246322,45.3255225,-75.66555383333333,82.2,1,1
1748025989.0367644,45.325541666666666,-75.66558,80.0,1,1
1748025989.252353,45.326009,-75.66625616666667,62.39999999999999,2,1
1748025989.4657247,45.32606033333333,-75.666277,53.8,2,1
1748025989.6436977,45.325462333333334,-75.6654255,90.8,1,1
1748025989.8234751,45.325530666666666,-75.66553216666667,82.1,1,1
1748025990.0405705,45.32554916666667,-75.66555633333333,79.89999999999999,1,1
1748025990.231498,45.32602083333333,-75.66623666666666,61.89999999999999,2,1
1748025990.4589553,45.32607133333333,-75.66625566666667,53.3,2,1
1748025990.6486104,45.3254695,-75.6654005,90.8,1,1
1748025990.8325458,45.3255385,-75.66550583333333,81.89999999999999,1,1
1748025991.0208256,45.32555816666667,-75.66552933333334,79.7,1,1
1748025991.224801,45.326027833333335,-75.66620316666666,61.599999999999994,2,1
1748025991.464041,45.3260815,-75.66622666666666,52.89999999999999,2,1
1748025991.6361527,45.325477,-75.66536483333333,90.1,1,1
1748025991.823355,45.32554533333333,-75.66547133333333,81.5,1,1
1748025992.023302,45.325564666666665,-75.66549566666667,79.3,1,1
1748025992.2255523,45.32603433333333,-75.66617233333334,61.3,2,1
1748025992.4561086,45.32608783333333,-75.66619383333334,52.5,2,1
1748025992.6419623,45.32548633333333,-75.66533716666666,90.0,1,1
1748025992.8115723,45.32555383333333,-75.6654405,81.3,1,1
1748025993.019741,45.32557216666667,-75.66546283333334,79.0,1,1
